/home/falmeida/Documents/Git_Repos/plot_nucmer/recipe/bin/1_and_2.fasta /home/falmeida/Documents/Git_Repos/plot_nucmer/recipe/bin/n_rosa_genomic.fasta
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
2048767	2051315	47212	44664	2549	2549	91.06	4164906	136325	0.06	1.87	1	NZ_BCZE01000012.1
2053620	2061958	43904	35600	8339	8305	88.21	4164906	136325	0.20	6.09	1	NZ_BCZE01000012.1
2062137	2065479	35421	32080	3343	3342	90.36	4164906	136325	0.08	2.45	1	NZ_BCZE01000012.1
2065576	2072604	26096	19110	7029	6987	89.20	4164906	136325	0.17	5.13	1	NZ_BCZE01000012.1
2073125	2084577	18577	7134	11453	11444	91.70	4164906	136325	0.27	8.39	1	NZ_BCZE01000012.1
2084585	2091633	7025	11	7049	7015	92.17	4164906	136325	0.17	5.15	1	NZ_BCZE01000012.1
2091639	2101169	38478	29001	9531	9478	90.46	4164906	38486	0.23	24.63	1	NZ_BCZE01000011.1
2101180	2112458	28167	16933	11279	11235	90.83	4164906	38486	0.27	29.19	1	NZ_BCZE01000011.1
2112796	2120068	16487	9205	7273	7283	92.28	4164906	38486	0.17	18.92	1	NZ_BCZE01000011.1
2120777	2122601	9133	7309	1825	1825	89.44	4164906	38486	0.04	4.74	1	NZ_BCZE01000011.1
2122745	2129151	7197	800	6407	6398	92.80	4164906	38486	0.15	16.62	1	NZ_BCZE01000011.1
2129415	2132078	163085	160420	2664	2666	90.08	4164906	189116	0.06	1.41	1	NZ_BCZE01000010.1
2136008	2150963	159738	144827	14956	14912	92.17	4164906	189116	0.36	7.89	1	NZ_BCZE01000010.1
2151719	2154030	144093	141782	2312	2312	92.57	4164906	189116	0.06	1.22	1	NZ_BCZE01000010.1
2155683	2164856	131969	122767	9174	9203	90.18	4164906	189116	0.22	4.87	1	NZ_BCZE01000010.1
2165492	2174590	122544	113473	9099	9072	90.64	4164906	189116	0.22	4.80	1	NZ_BCZE01000010.1
2174691	2191110	113358	96912	16420	16447	91.36	4164906	189116	0.39	8.70	1	NZ_BCZE01000010.1
2246691	2248219	28539	30067	1529	1529	82.78	4164906	56054	0.04	2.73	1	NZ_BCZE01000056.1
2317358	2351635	96931	62569	34278	34363	90.72	4164906	189116	0.82	18.17	1	NZ_BCZE01000010.1
2351897	2356115	62292	58074	4219	4219	89.09	4164906	189116	0.10	2.23	1	NZ_BCZE01000010.1
2357548	2359050	57899	56397	1503	1503	92.48	4164906	189116	0.04	0.79	1	NZ_BCZE01000010.1
2359156	2377312	56392	38233	18157	18160	89.98	4164906	189116	0.44	9.60	1	NZ_BCZE01000010.1
2377499	2378589	38015	36925	1091	1091	82.89	4164906	189116	0.03	0.58	1	NZ_BCZE01000010.1
2378676	2395872	26428	9369	17197	17060	91.19	4164906	189116	0.41	9.02	1	NZ_BCZE01000010.1
2400542	2403661	33806	30699	3120	3108	91.32	4164906	115042	0.07	2.70	1	NZ_BCZE01000020.1
2404463	2409237	30664	25882	4775	4783	87.58	4164906	115042	0.11	4.16	1	NZ_BCZE01000020.1
2411113	2432840	25558	3808	21728	21751	90.62	4164906	115042	0.52	18.91	1	NZ_BCZE01000020.1
2411706	2412802	64388	63292	1097	1097	78.63	4164906	204838	0.03	0.54	1	NZ_BCZE01000009.1
2434728	2440631	48009	53896	5904	5888	85.90	4164906	73169	0.14	8.05	1	NZ_BCZE01000016.1
2440713	2445090	41203	45579	4378	4377	91.47	4164906	115042	0.11	3.80	1	NZ_BCZE01000020.1
2447568	2455255	54752	62428	7688	7677	89.51	4164906	73169	0.18	10.49	1	NZ_BCZE01000016.1
2459269	2464900	62581	68184	5632	5604	89.12	4164906	73169	0.14	7.66	1	NZ_BCZE01000016.1
2465067	2468328	68320	71581	3262	3262	89.56	4164906	73169	0.08	4.46	1	NZ_BCZE01000016.1
2473103	2474690	7	1591	1588	1585	86.65	4164906	76041	0.04	2.08	1	NZ_BCZE01000017.1
2475933	2483292	1676	9032	7360	7357	89.89	4164906	76041	0.18	9.68	1	NZ_BCZE01000017.1
2484195	2486703	9057	11566	2509	2510	91.60	4164906	76041	0.06	3.30	1	NZ_BCZE01000017.1
2487175	2490146	11622	14582	2972	2961	90.44	4164906	76041	0.07	3.89	1	NZ_BCZE01000017.1
2490257	2493374	14682	17815	3118	3134	91.94	4164906	76041	0.07	4.12	1	NZ_BCZE01000017.1
2495472	2496880	53040	51632	1409	1409	88.23	4164906	62739	0.03	2.25	1	NZ_BCZE01000032.1
2498146	2502953	18828	23664	4808	4837	87.80	4164906	76041	0.12	6.36	1	NZ_BCZE01000017.1
2504501	2511614	24373	31442	7114	7070	89.04	4164906	76041	0.17	9.30	1	NZ_BCZE01000017.1
2513046	2515338	26050	23764	2293	2287	85.05	4164906	46862	0.06	4.88	1	NZ_BCZE01000064.1
2534118	2537297	28077	24899	3180	3179	93.59	4164906	43574	0.08	7.30	1	NZ_BCZE01000068.1
2537311	2547481	24744	14587	10171	10158	93.11	4164906	43574	0.24	23.31	1	NZ_BCZE01000068.1
2547599	2557341	14563	4848	9743	9716	91.05	4164906	43574	0.23	22.30	1	NZ_BCZE01000068.1
2557481	2567129	45866	36236	9649	9631	88.90	4164906	95616	0.23	10.07	1	NZ_BCZE01000015.1
2567310	2573628	36100	29776	6319	6325	90.81	4164906	95616	0.15	6.62	1	NZ_BCZE01000015.1
2574016	2576993	29720	26716	2978	3005	89.93	4164906	95616	0.07	3.14	1	NZ_BCZE01000015.1
2577222	2603721	26514	1	26500	26514	90.34	4164906	95616	0.64	27.73	1	NZ_BCZE01000015.1
2606765	2611553	50776	45997	4789	4780	90.95	4164906	53901	0.11	8.87	1	NZ_BCZE01000014.1
2611732	2625079	45365	32025	13348	13341	92.36	4164906	53901	0.32	24.75	1	NZ_BCZE01000014.1
2625660	2635727	31463	21394	10068	10070	87.47	4164906	53901	0.24	18.68	1	NZ_BCZE01000014.1
2637698	2638972	20489	19218	1275	1272	88.42	4164906	53901	0.03	2.36	1	NZ_BCZE01000014.1
2639247	2643573	19009	14696	4327	4314	92.00	4164906	53901	0.10	8.00	1	NZ_BCZE01000014.1
2644287	2658035	13737	4	13749	13734	90.55	4164906	53901	0.33	25.48	1	NZ_BCZE01000014.1
2658028	2664892	13364	6546	6865	6819	88.48	4164906	13369	0.16	51.01	1	NZ_BCZE01000013.1
2665041	2666089	6459	5412	1049	1048	93.42	4164906	13369	0.03	7.84	1	NZ_BCZE01000013.1
2666257	2671577	5324	4	5321	5321	90.29	4164906	13369	0.13	39.80	1	NZ_BCZE01000013.1
2672515	2676054	6	3539	3540	3534	88.03	4164906	11127	0.08	31.76	1	NZ_BCZE01000130.1
2677421	2683646	4896	11122	6226	6227	93.02	4164906	11127	0.15	55.96	1	NZ_BCZE01000130.1
2683697	2686447	13083	10325	2751	2759	93.85	4164906	13083	0.07	21.09	1	NZ_BCZE01000048.1
2687402	2697493	10080	4	10092	10077	91.08	4164906	13083	0.24	77.02	1	NZ_BCZE01000048.1
2697494	2713869	31189	14780	16376	16410	90.84	4164906	31189	0.39	52.61	1	NZ_BCZE01000047.1
2713994	2716732	14775	12031	2739	2745	90.72	4164906	31189	0.07	8.80	1	NZ_BCZE01000047.1
2718198	2721890	11999	8295	3693	3705	92.05	4164906	31189	0.09	11.88	1	NZ_BCZE01000047.1
2723098	2731354	8287	26	8257	8262	91.45	4164906	31189	0.20	26.49	1	NZ_BCZE01000047.1
2731838	2733534	23983	22298	1697	1686	89.46	4164906	24100	0.04	7.00	1	NZ_BCZE01000046.1
2733689	2735419	22176	20449	1731	1728	82.67	4164906	24100	0.04	7.17	1	NZ_BCZE01000046.1
2736851	2747164	19005	8725	10314	10281	91.70	4164906	24100	0.25	42.66	1	NZ_BCZE01000046.1
2747409	2756089	8706	1	8681	8706	92.52	4164906	24100	0.21	36.12	1	NZ_BCZE01000046.1
2756090	2757717	1	1628	1628	1628	92.52	4164906	1628	0.04	100.00	1	NZ_BCZE01000164.1
2757922	2760616	1746	4372	2695	2627	85.88	4164906	32217	0.06	8.15	1	NZ_BCZE01000080.1
2762885	2784149	10410	31693	21265	21284	90.07	4164906	32217	0.51	66.06	1	NZ_BCZE01000080.1
2784608	2790412	21647	15862	5805	5786	91.94	4164906	21647	0.14	26.73	1	NZ_BCZE01000104.1
2814491	2816048	4479	2922	1558	1558	90.31	4164906	7022	0.04	22.19	1	NZ_BCZE01000143.1
2816246	2817799	19244	17692	1554	1553	92.54	4164906	51744	0.04	3.00	1	NZ_BCZE01000059.1
2820743	2833598	17643	4805	12856	12839	90.94	4164906	51744	0.31	24.81	1	NZ_BCZE01000059.1
2837104	2852441	15383	96	15338	15288	91.38	4164906	113239	0.37	13.50	1	NZ_BCZE01000023.1
2852772	2857876	140	5260	5105	5121	90.93	4164906	68666	0.12	7.46	1	NZ_BCZE01000045.1
2858466	2864980	5423	11935	6515	6513	89.47	4164906	68666	0.16	9.49	1	NZ_BCZE01000045.1
2865177	2885556	12156	32509	20380	20354	94.94	4164906	68666	0.49	29.64	1	NZ_BCZE01000045.1
2885666	2893879	32628	40818	8214	8191	92.34	4164906	68666	0.20	11.93	1	NZ_BCZE01000045.1
2893971	2900203	40931	47094	6233	6164	91.37	4164906	68666	0.15	8.98	1	NZ_BCZE01000045.1
2900375	2910755	47268	57601	10381	10334	89.59	4164906	68666	0.25	15.05	1	NZ_BCZE01000045.1
2912028	2914665	58874	61504	2638	2631	91.36	4164906	68666	0.06	3.83	1	NZ_BCZE01000045.1
2914655	2919055	10311	14682	4401	4372	89.56	4164906	22532	0.11	19.40	1	NZ_BCZE01000100.1
2919192	2920636	14703	16147	1445	1445	87.84	4164906	22532	0.03	6.41	1	NZ_BCZE01000100.1
2922164	2927165	17584	22505	5002	4922	88.31	4164906	22532	0.12	21.84	1	NZ_BCZE01000100.1
2928176	2930561	23764	21378	2386	2387	93.80	4164906	24691	0.06	9.67	1	NZ_BCZE01000094.1
2935149	2939280	20782	16662	4132	4121	90.62	4164906	24691	0.10	16.69	1	NZ_BCZE01000094.1
2940710	2944665	15097	11166	3956	3932	89.79	4164906	24691	0.09	15.92	1	NZ_BCZE01000094.1
2944771	2954933	53732	63932	10163	10201	89.17	4164906	112287	0.24	9.08	1	NZ_BCZE01000025.1
2955071	2960807	64065	69819	5737	5755	91.00	4164906	112287	0.14	5.13	1	NZ_BCZE01000025.1
2961597	2973882	70658	82931	12286	12274	91.50	4164906	112287	0.29	10.93	1	NZ_BCZE01000025.1
2973985	2984302	101981	112287	10318	10307	90.92	4164906	112287	0.25	9.18	1	NZ_BCZE01000025.1
2985204	2988007	2808	4	2804	2805	92.56	4164906	2808	0.07	99.89	1	NZ_BCZE01000157.1
2988048	2992546	39	4578	4499	4540	85.72	4164906	48307	0.11	9.40	1	NZ_BCZE01000062.1
2992861	3001764	4902	13797	8904	8896	92.21	4164906	48307	0.21	18.42	1	NZ_BCZE01000062.1
3001897	3003773	13930	15800	1877	1871	90.88	4164906	48307	0.05	3.87	1	NZ_BCZE01000062.1
3003777	3022236	15900	34419	18460	18520	89.87	4164906	48307	0.44	38.34	1	NZ_BCZE01000062.1
3022945	3025036	2023	1	2092	2023	88.32	4164906	44562	0.05	4.54	1	NZ_BCZE01000067.1
3025692	3026725	123688	124722	1034	1035	81.80	4164906	128717	0.02	0.80	1	NZ_BCZE01000022.1
3027230	3031181	128717	124787	3952	3931	86.93	4164906	128717	0.09	3.05	1	NZ_BCZE01000022.1
3027230	3028749	1	1497	1520	1497	86.76	4164906	26664	0.04	5.61	1	NZ_BCZE01000089.1
3031268	3035309	123541	119500	4042	4042	91.10	4164906	128717	0.10	3.14	1	NZ_BCZE01000022.1
3035560	3039623	119447	115385	4064	4063	88.11	4164906	128717	0.10	3.16	1	NZ_BCZE01000022.1
3039910	3041929	115133	113111	2020	2023	94.66	4164906	128717	0.05	1.57	1	NZ_BCZE01000022.1
3045053	3047033	109088	107061	1981	2028	89.02	4164906	128717	0.05	1.58	1	NZ_BCZE01000022.1
3048222	3049682	106481	105019	1461	1463	89.65	4164906	128717	0.04	1.14	1	NZ_BCZE01000022.1
3051614	3052713	103459	102363	1100	1097	89.21	4164906	128717	0.03	0.85	1	NZ_BCZE01000022.1
3053722	3055995	29982	27706	2274	2277	84.45	4164906	46862	0.05	4.86	1	NZ_BCZE01000064.1
3056151	3060795	26682	31286	4645	4605	86.20	4164906	51744	0.11	8.90	1	NZ_BCZE01000059.1
3061608	3062882	1278	4	1275	1275	94.82	4164906	128717	0.03	0.99	1	NZ_BCZE01000022.1
3062850	3068005	11663	6514	5156	5150	90.64	4164906	11663	0.12	44.16	1	NZ_BCZE01000097.1
3068144	3074697	6512	23	6554	6490	91.32	4164906	11663	0.16	55.65	1	NZ_BCZE01000097.1
3074958	3081094	12169	6039	6137	6131	94.11	4164906	12267	0.15	49.98	1	NZ_BCZE01000096.1
3081502	3087108	5721	91	5607	5631	90.81	4164906	12267	0.13	45.90	1	NZ_BCZE01000096.1
3087245	3093445	1	6143	6201	6143	89.79	4164906	77813	0.15	7.89	1	NZ_BCZE01000041.1
3094076	3096066	6701	8682	1991	1982	90.07	4164906	77813	0.05	2.55	1	NZ_BCZE01000041.1
3096319	3101788	8806	14271	5470	5466	90.51	4164906	77813	0.13	7.02	1	NZ_BCZE01000041.1
3102476	3111694	14540	23820	9219	9281	90.83	4164906	77813	0.22	11.93	1	NZ_BCZE01000041.1
3112724	3115395	24957	27629	2672	2673	93.13	4164906	77813	0.06	3.44	1	NZ_BCZE01000041.1
3115908	3119348	143697	147136	3441	3440	91.44	4164906	357524	0.08	0.96	1	NZ_BCZE01000001.1
3119492	3124905	27842	33239	5414	5398	89.58	4164906	77813	0.13	6.94	1	NZ_BCZE01000041.1
3128771	3157883	35998	65021	29113	29024	89.84	4164906	77813	0.70	37.30	1	NZ_BCZE01000041.1
3158071	3161576	65238	68746	3506	3509	91.15	4164906	77813	0.08	4.51	1	NZ_BCZE01000041.1
3162068	3166057	69222	73203	3990	3982	88.16	4164906	77813	0.10	5.12	1	NZ_BCZE01000041.1
3166371	3170636	73544	77806	4266	4263	90.70	4164906	77813	0.10	5.48	1	NZ_BCZE01000041.1
3170801	3172249	161	1612	1449	1452	92.16	4164906	1612	0.03	90.07	1	NZ_BCZE01000167.1
3172250	3178284	1	6065	6035	6065	91.61	4164906	13278	0.14	45.68	1	NZ_BCZE01000125.1
3179431	3183364	7173	11111	3934	3939	91.50	4164906	13278	0.09	29.67	1	NZ_BCZE01000125.1
3183640	3185675	11244	13278	2036	2035	89.99	4164906	13278	0.05	15.33	1	NZ_BCZE01000125.1
3185646	3193605	3	7969	7960	7967	90.20	4164906	29194	0.19	27.29	1	NZ_BCZE01000085.1
3193742	3203156	8121	17555	9415	9435	92.87	4164906	29194	0.23	32.32	1	NZ_BCZE01000085.1
3203239	3212935	17690	27390	9697	9701	90.54	4164906	29194	0.23	33.23	1	NZ_BCZE01000085.1
3213075	3214810	27458	29194	1736	1737	92.75	4164906	29194	0.04	5.95	1	NZ_BCZE01000085.1
3215409	3217836	602	3039	2428	2438	85.99	4164906	38678	0.06	6.30	1	NZ_BCZE01000069.1
3218540	3220907	24125	26495	2368	2371	81.95	4164906	35173	0.06	6.74	1	NZ_BCZE01000075.1
3228069	3229724	3328	4997	1656	1670	87.62	4164906	38678	0.04	4.32	1	NZ_BCZE01000069.1
3229838	3236650	5014	11847	6813	6834	89.92	4164906	38678	0.16	17.67	1	NZ_BCZE01000069.1
3237265	3243997	12429	19077	6733	6649	90.16	4164906	38678	0.16	17.19	1	NZ_BCZE01000069.1
3244007	3251213	19198	26442	7207	7245	91.40	4164906	38678	0.17	18.73	1	NZ_BCZE01000069.1
3252129	3263469	27376	38678	11341	11303	91.46	4164906	38678	0.27	29.22	1	NZ_BCZE01000069.1
3263461	3266891	28982	25563	3431	3420	91.36	4164906	28986	0.08	11.80	1	NZ_BCZE01000086.1
3266983	3271293	25447	21183	4311	4265	91.51	4164906	28986	0.10	14.71	1	NZ_BCZE01000086.1
3271427	3290887	21064	1563	19461	19502	91.82	4164906	28986	0.47	67.28	1	NZ_BCZE01000086.1
3291146	3292478	1341	10	1333	1332	92.50	4164906	28986	0.03	4.60	1	NZ_BCZE01000086.1
3292707	3308411	47738	31948	15705	15791	91.14	4164906	47750	0.38	33.07	1	NZ_BCZE01000063.1
3308567	3317347	31825	23068	8781	8758	90.16	4164906	47750	0.21	18.34	1	NZ_BCZE01000063.1
3317533	3320348	22944	20129	2816	2816	91.88	4164906	47750	0.07	5.90	1	NZ_BCZE01000063.1
3320380	3327629	19981	12757	7250	7225	89.91	4164906	47750	0.17	15.13	1	NZ_BCZE01000063.1
3327802	3333708	12605	6712	5907	5894	91.13	4164906	47750	0.14	12.34	1	NZ_BCZE01000063.1
3334303	3336882	29611	32197	2580	2587	90.56	4164906	99591	0.06	2.60	1	NZ_BCZE01000030.1
3337461	3345656	32250	40426	8196	8177	92.52	4164906	99591	0.20	8.21	1	NZ_BCZE01000030.1
3345794	3347590	40436	42232	1797	1797	94.00	4164906	99591	0.04	1.80	1	NZ_BCZE01000030.1
3348626	3352702	43304	47376	4077	4073	92.18	4164906	99591	0.10	4.09	1	NZ_BCZE01000030.1
3353299	3361911	47458	56057	8613	8600	92.32	4164906	99591	0.21	8.64	1	NZ_BCZE01000030.1
3362082	3365838	56192	59817	3757	3626	89.92	4164906	99591	0.09	3.64	1	NZ_BCZE01000030.1
3367035	3369285	60894	63146	2251	2253	84.15	4164906	99591	0.05	2.26	1	NZ_BCZE01000030.1
3371913	3375954	65752	69797	4042	4046	92.77	4164906	99591	0.10	4.06	1	NZ_BCZE01000030.1
3376820	3379828	69872	72862	3009	2991	89.53	4164906	99591	0.07	3.00	1	NZ_BCZE01000030.1
3379837	3385444	72972	78582	5608	5611	91.45	4164906	99591	0.13	5.63	1	NZ_BCZE01000030.1
3385640	3386704	78562	79627	1065	1066	88.76	4164906	99591	0.03	1.07	1	NZ_BCZE01000030.1
3403574	3405649	10536	12611	2076	2076	83.71	4164906	35369	0.05	5.87	1	NZ_BCZE01000073.1
3429717	3434054	129380	133717	4338	4338	89.94	4164906	136401	0.10	3.18	1	NZ_BCZE01000021.1
3435031	3436609	134801	136379	1579	1579	87.10	4164906	136401	0.04	1.16	1	NZ_BCZE01000021.1
3442442	3443494	1940	2992	1053	1053	91.26	4164906	99591	0.03	1.06	1	NZ_BCZE01000030.1
3445512	3448133	5978	8606	2622	2629	83.55	4164906	99591	0.06	2.64	1	NZ_BCZE01000030.1
3457215	3464539	83879	91186	7325	7308	92.10	4164906	99591	0.18	7.34	1	NZ_BCZE01000030.1
3464705	3466737	91364	93393	2033	2030	89.09	4164906	99591	0.05	2.04	1	NZ_BCZE01000030.1
3470288	3471290	94017	95019	1003	1003	94.42	4164906	99591	0.02	1.01	1	NZ_BCZE01000030.1
3472911	3476784	95669	99525	3874	3857	89.54	4164906	99591	0.09	3.87	1	NZ_BCZE01000030.1
3476934	3478492	35	1593	1559	1559	89.29	4164906	1593	0.04	97.87	1	NZ_BCZE01000168.1
3479221	3484046	684	5473	4826	4790	88.03	4164906	8535	0.12	56.12	1	NZ_BCZE01000137.1
3486839	3488138	66033	67332	1300	1300	87.08	4164906	102054	0.03	1.27	1	NZ_BCZE01000027.1
3488425	3490885	67604	70065	2461	2462	92.13	4164906	102054	0.06	2.41	1	NZ_BCZE01000027.1
3491102	3493133	70328	72325	2032	1998	86.31	4164906	102054	0.05	1.96	1	NZ_BCZE01000027.1
3493520	3494727	72455	73662	1208	1208	86.68	4164906	102054	0.03	1.18	1	NZ_BCZE01000027.1
3500713	3503560	5692	8532	2848	2841	86.69	4164906	8535	0.07	33.29	1	NZ_BCZE01000137.1
3503564	3504790	1227	1	1227	1227	92.01	4164906	1227	0.03	100.00	1	NZ_BCZE01000176.1
3504797	3511001	7	6240	6205	6234	90.27	4164906	62590	0.15	9.96	1	NZ_BCZE01000053.1
3512677	3514714	6367	8458	2038	2092	86.67	4164906	62590	0.05	3.34	1	NZ_BCZE01000053.1
3516210	3530784	9120	23655	14575	14536	92.11	4164906	62590	0.35	23.22	1	NZ_BCZE01000053.1
3550178	3552067	23997	25886	1890	1890	93.18	4164906	62590	0.05	3.02	1	NZ_BCZE01000053.1
3552103	3553176	26045	27130	1074	1086	88.10	4164906	62590	0.03	1.74	1	NZ_BCZE01000053.1
3553300	3577386	27321	51317	24087	23997	89.03	4164906	62590	0.58	38.34	1	NZ_BCZE01000053.1
3577434	3579794	51263	53621	2361	2359	90.56	4164906	62590	0.06	3.77	1	NZ_BCZE01000053.1
3580644	3581684	54661	55705	1041	1045	88.62	4164906	62590	0.02	1.67	1	NZ_BCZE01000053.1
3581710	3583537	38002	39814	1828	1813	87.56	4164906	45594	0.04	3.98	1	NZ_BCZE01000066.1
3583619	3587125	55724	59219	3507	3496	91.83	4164906	62590	0.08	5.59	1	NZ_BCZE01000053.1
3587379	3590403	59527	62551	3025	3025	92.51	4164906	62590	0.07	4.83	1	NZ_BCZE01000053.1
3591304	3593728	4605	7022	2425	2418	89.29	4164906	7022	0.06	34.43	1	NZ_BCZE01000143.1
3593729	3595011	1	1283	1283	1283	89.02	4164906	48317	0.03	2.66	1	NZ_BCZE01000061.1
3595754	3602367	2109	8744	6614	6636	90.56	4164906	48317	0.16	13.73	1	NZ_BCZE01000061.1
3602630	3606840	8880	13110	4211	4231	92.65	4164906	48317	0.10	8.76	1	NZ_BCZE01000061.1
3607003	3611575	13116	17647	4573	4532	91.66	4164906	48317	0.11	9.38	1	NZ_BCZE01000061.1
3616035	3619518	18260	21736	3484	3477	92.99	4164906	48317	0.08	7.20	1	NZ_BCZE01000061.1
3619979	3628122	21803	29899	8144	8097	88.60	4164906	48317	0.20	16.76	1	NZ_BCZE01000061.1
3628245	3635316	29907	36919	7072	7013	91.00	4164906	48317	0.17	14.51	1	NZ_BCZE01000061.1
3635568	3645126	37156	46715	9559	9560	91.52	4164906	48317	0.23	19.79	1	NZ_BCZE01000061.1
3645163	3646189	74890	75915	1027	1026	88.12	4164906	102054	0.02	1.01	1	NZ_BCZE01000027.1
3646465	3647531	76183	77245	1067	1063	87.50	4164906	102054	0.03	1.04	1	NZ_BCZE01000027.1
3649133	3650687	46775	48317	1555	1543	92.94	4164906	48317	0.04	3.19	1	NZ_BCZE01000061.1
3650656	3658036	61283	53917	7381	7367	90.54	4164906	61283	0.18	12.02	1	NZ_BCZE01000054.1
3658295	3659611	53621	52317	1317	1305	87.50	4164906	61283	0.03	2.13	1	NZ_BCZE01000054.1
3661453	3668608	50481	43326	7156	7156	90.54	4164906	61283	0.17	11.68	1	NZ_BCZE01000054.1
3672365	3673925	41791	40232	1561	1560	92.25	4164906	61283	0.04	2.55	1	NZ_BCZE01000054.1
3674027	3686311	40118	27827	12285	12292	91.22	4164906	61283	0.29	20.06	1	NZ_BCZE01000054.1
3690014	3694847	25522	20718	4834	4805	89.30	4164906	61283	0.12	7.84	1	NZ_BCZE01000054.1
3695149	3697482	18298	15830	2334	2469	84.44	4164906	61283	0.06	4.03	1	NZ_BCZE01000054.1
3697699	3702387	11368	6749	4689	4620	89.41	4164906	61283	0.11	7.54	1	NZ_BCZE01000054.1
3702497	3705851	6738	3396	3355	3343	92.83	4164906	61283	0.08	5.46	1	NZ_BCZE01000054.1
3707095	3709694	31349	28749	2600	2601	89.75	4164906	31349	0.06	8.30	1	NZ_BCZE01000082.1
3709795	3712065	28648	26367	2271	2282	89.63	4164906	31349	0.05	7.28	1	NZ_BCZE01000082.1
3712190	3719240	26188	19156	7051	7033	94.93	4164906	31349	0.17	22.43	1	NZ_BCZE01000082.1
3744610	3745654	1048	4	1045	1045	87.39	4164906	1048	0.03	99.71	1	NZ_BCZE01000178.1
3745658	3746734	1623	550	1077	1074	85.44	4164906	1623	0.03	66.17	1	NZ_BCZE01000165.1
3745660	3746709	1617	565	1050	1053	82.62	4164906	1619	0.03	65.04	1	NZ_BCZE01000166.1
3748810	3753026	1331	5586	4217	4256	90.52	4164906	101923	0.10	4.18	1	NZ_BCZE01000028.1
3754794	3758683	6343	10248	3890	3906	93.58	4164906	101923	0.09	3.83	1	NZ_BCZE01000028.1
3759904	3762122	10451	12667	2219	2217	94.60	4164906	101923	0.05	2.18	1	NZ_BCZE01000028.1
3762231	3767387	12781	17923	5157	5143	91.69	4164906	101923	0.12	5.05	1	NZ_BCZE01000028.1
3767980	3772295	18516	22854	4316	4339	91.25	4164906	101923	0.10	4.26	1	NZ_BCZE01000028.1
3772380	3779680	27251	34531	7301	7281	89.76	4164906	101923	0.18	7.14	1	NZ_BCZE01000028.1
3783164	3803317	34605	54592	20154	19988	89.76	4164906	101923	0.48	19.61	1	NZ_BCZE01000028.1
3803408	3806416	54762	57770	3009	3009	92.86	4164906	101923	0.07	2.95	1	NZ_BCZE01000028.1
3806624	3809585	58016	60985	2962	2970	88.84	4164906	101923	0.07	2.91	1	NZ_BCZE01000028.1
3809924	3812005	61295	63361	2082	2067	84.68	4164906	101923	0.05	2.03	1	NZ_BCZE01000028.1
3812156	3814811	63512	66117	2656	2606	88.13	4164906	101923	0.06	2.56	1	NZ_BCZE01000028.1
3814942	3819199	66200	70453	4258	4254	93.19	4164906	101923	0.10	4.17	1	NZ_BCZE01000028.1
3819253	3823214	70639	74619	3962	3981	90.76	4164906	101923	0.10	3.91	1	NZ_BCZE01000028.1
3823331	3832765	74704	84159	9435	9456	91.54	4164906	101923	0.23	9.28	1	NZ_BCZE01000028.1
3833810	3851474	84236	101907	17665	17672	93.02	4164906	101923	0.42	17.34	1	NZ_BCZE01000028.1
3851524	3861065	1	9450	9542	9450	90.42	4164906	23189	0.23	40.75	1	NZ_BCZE01000099.1
3861282	3864184	9633	12558	2903	2926	91.26	4164906	23189	0.07	12.62	1	NZ_BCZE01000099.1
3864188	3868397	12652	16870	4210	4219	91.10	4164906	23189	0.10	18.19	1	NZ_BCZE01000099.1
3868637	3874666	17071	23089	6030	6019	92.63	4164906	23189	0.14	25.96	1	NZ_BCZE01000099.1
3874840	3876656	1	1817	1817	1817	91.97	4164906	14197	0.04	12.80	1	NZ_BCZE01000121.1
3877077	3888091	2262	13320	11015	11059	89.55	4164906	14197	0.26	77.90	1	NZ_BCZE01000121.1
3889202	3891377	62969	60801	2176	2169	92.24	4164906	63112	0.05	3.44	1	NZ_BCZE01000052.1
3892974	3909414	59389	42833	16441	16557	90.83	4164906	63112	0.39	26.23	1	NZ_BCZE01000052.1
3909529	3920956	42812	31406	11428	11407	88.45	4164906	63112	0.27	18.07	1	NZ_BCZE01000052.1
3921174	3922584	31170	29747	1411	1424	90.32	4164906	63112	0.03	2.26	1	NZ_BCZE01000052.1
3922953	3924448	29693	28199	1496	1495	89.26	4164906	63112	0.04	2.37	1	NZ_BCZE01000052.1
3924518	3926416	28192	26293	1899	1900	91.07	4164906	63112	0.05	3.01	1	NZ_BCZE01000052.1
3927121	3935647	25628	17102	8527	8527	91.21	4164906	63112	0.20	13.51	1	NZ_BCZE01000052.1
3935806	3946298	6623	17094	10493	10472	91.55	4164906	63112	0.25	16.59	1	NZ_BCZE01000052.1
3946201	3955732	51540	61112	9532	9573	92.17	4164906	77545	0.23	12.35	1	NZ_BCZE01000042.1
3955881	3959289	64735	61314	3409	3422	88.94	4164906	77545	0.08	4.41	1	NZ_BCZE01000042.1
3959506	3964083	64852	69462	4578	4611	91.88	4164906	77545	0.11	5.95	1	NZ_BCZE01000042.1
3964184	3972172	69562	77535	7989	7974	92.77	4164906	77545	0.19	10.28	1	NZ_BCZE01000042.1
3972256	3978788	12	6516	6533	6505	91.91	4164906	63112	0.16	10.31	1	NZ_BCZE01000052.1
